tiempo,altura,setpoint,flujo_entrada,flujo_salida,error
0.0000,1.0376,1.0000,0.0042,0.5099,-0.0376
0.0000,1.0351,1.0000,0.0049,0.5093,-0.0351
0.0000,1.0326,1.0000,0.0057,0.5087,-0.0326
0.0000,1.0301,1.0000,0.0067,0.5081,-0.0301
0.0000,1.0276,1.0000,0.0077,0.5075,-0.0276
0.0000,1.0252,1.0000,0.0089,0.5069,-0.0252
0.0000,1.0227,1.0000,0.0102,0.5063,-0.0227
0.0000,1.0203,1.0000,0.0115,0.5057,-0.0203
0.0000,1.0179,1.0000,0.0130,0.5051,-0.0179
0.0000,1.0155,1.0000,0.0146,0.5045,-0.0155
0.0000,1.0131,1.0000,0.0163,0.5039,-0.0131
0.0000,1.0108,1.0000,0.0180,0.5033,-0.0108
0.0000,1.0084,1.0000,0.0199,0.5027,-0.0084
0.0000,1.0061,1.0000,0.0218,0.5021,-0.0061
0.0000,1.0038,1.0000,0.0239,0.5015,-0.0038
0.0000,1.0016,1.0000,0.0260,0.5010,-0.0016
0.0000,0.9993,1.0000,0.0282,0.5004,0.0007
0.0000,0.9971,1.0000,0.0305,0.4998,0.0029
0.0000,0.9949,1.0000,0.0329,0.4993,0.0051
0.0000,0.9928,1.0000,0.0354,0.4987,0.0072
0.0000,0.9906,1.0000,0.0379,0.4982,0.0094
0.0000,0.9885,1.0000,0.0405,0.4976,0.0115
0.0000,0.9864,1.0000,0.0432,0.4971,0.0136
0.0000,0.9844,1.0000,0.0460,0.4966,0.0156
0.0000,0.9824,1.0000,0.0488,0.4961,0.0176
0.0000,0.9804,1.0000,0.0517,0.4956,0.0196
0.0000,0.9784,1.0000,0.0546,0.4951,0.0216
0.0000,0.9765,1.0000,0.0577,0.4946,0.0235
0.0000,0.9746,1.0000,0.0607,0.4941,0.0254
0.0000,0.9727,1.0000,0.0639,0.4936,0.0273
0.0000,0.9709,1.0000,0.0671,0.4931,0.0291
0.0000,0.9691,1.0000,0.0703,0.4927,0.0309
0.0000,0.9674,1.0000,0.0736,0.4922,0.0326
0.0000,0.9656,1.0000,0.0770,0.4918,0.0344
0.0000,0.9623,1.0000,0.0864,0.4909,0.0377
0.0000,0.9607,1.0000,0.0855,0.4905,0.0393
0.0000,0.9591,1.0000,0.0891,0.4901,0.0409
0.0000,0.9575,1.0000,0.0927,0.4897,0.0425
0.0000,0.9545,1.0000,0.1017,0.4889,0.0455
0.0000,0.9531,1.0000,0.1015,0.4885,0.0469
0.0000,0.9516,1.0000,0.1053,0.4881,0.0484
0.0000,0.9502,1.0000,0.1091,0.4878,0.0498
0.0000,0.9489,1.0000,0.1129,0.4874,0.0511
0.0000,0.9476,1.0000,0.1167,0.4871,0.0524
0.0000,0.9463,1.0000,0.1206,0.4867,0.0537
0.0000,0.9451,1.0000,0.1244,0.4864,0.0549
0.0000,0.9439,1.0000,0.1283,0.4861,0.0561
0.0000,0.9428,1.0000,0.1322,0.4858,0.0572
0.0000,0.9417,1.0000,0.1362,0.4855,0.0583
0.0000,0.9406,1.0000,0.1401,0.4852,0.0594
0.0000,0.9396,1.0000,0.1440,0.4849,0.0604
0.0000,0.9386,1.0000,0.1480,0.4847,0.0614
0.0000,0.9376,1.0000,0.1519,0.4844,0.0624
0.0000,0.9367,1.0000,0.1559,0.4842,0.0633
0.0000,0.9359,1.0000,0.1599,0.4839,0.0641
0.0000,0.9351,1.0000,0.1638,0.4837,0.0649
0.0000,0.9343,1.0000,0.1678,0.4835,0.0657
0.0000,0.9335,1.0000,0.1718,0.4833,0.0665
0.0000,0.9329,1.0000,0.1757,0.4831,0.0671
0.0000,0.9322,1.0000,0.1797,0.4829,0.0678
0.0000,0.9316,1.0000,0.1836,0.4828,0.0684
0.0000,0.9310,1.0000,0.1875,0.4826,0.0690
0.0000,0.9305,1.0000,0.1914,0.4824,0.0695
0.0000,0.9300,1.0000,0.1953,0.4823,0.0700
0.0000,0.9295,1.0000,0.1992,0.4822,0.0705
0.0000,0.9291,1.0000,0.2031,0.4821,0.0709
0.0000,0.9287,1.0000,0.2069,0.4819,0.0713
0.0000,0.9284,1.0000,0.2107,0.4818,0.0716
0.0000,0.9281,1.0000,0.2145,0.4818,0.0719
0.0000,0.9278,1.0000,0.2183,0.4817,0.0722
0.0000,0.9276,1.0000,0.2221,0.4816,0.0724
0.0000,0.9274,1.0000,0.2258,0.4816,0.0726
0.0000,0.9272,1.0000,0.2295,0.4815,0.0728
0.0000,0.9271,1.0000,0.2332,0.4815,0.0729
0.0000,0.9271,1.0000,0.2368,0.4814,0.0729
0.0000,0.9270,1.0000,0.2404,0.4814,0.0730
0.0000,0.9270,1.0000,0.2439,0.4814,0.0730
0.0000,0.9270,1.0000,0.2475,0.4814,0.0730
0.0000,0.9271,1.0000,0.2510,0.4814,0.0729
0.0000,0.9272,1.0000,0.2544,0.4814,0.0728
0.0000,0.9275,1.0000,0.2573,0.4815,0.0725
0.0000,0.9277,1.0000,0.2611,0.4815,0.0723
0.0000,0.9279,1.0000,0.2644,0.4816,0.0721
0.0000,0.9281,1.0000,0.2676,0.4816,0.0719
0.0000,0.9284,1.0000,0.2709,0.4817,0.0716
0.0000,0.9287,1.0000,0.2741,0.4818,0.0713
0.0000,0.9290,1.0000,0.2772,0.4818,0.0710
0.0000,0.9294,1.0000,0.2803,0.4819,0.0706
0.0000,0.9297,1.0000,0.2833,0.4820,0.0703
0.0000,0.9302,1.0000,0.2863,0.4821,0.0698
0.0000,0.9306,1.0000,0.2893,0.4822,0.0694
0.0000,0.9311,1.0000,0.2922,0.4823,0.0689
0.0000,0.9316,1.0000,0.2950,0.4825,0.0684
0.0000,0.9322,1.0000,0.2978,0.4826,0.0678
0.0000,0.9327,1.0000,0.3005,0.4827,0.0673
0.0000,0.9333,1.0000,0.3032,0.4829,0.0667
0.0000,0.9339,1.0000,0.3058,0.4830,0.0661
0.0000,0.9346,1.0000,0.3084,0.4832,0.0654
0.0000,0.9352,1.0000,0.3109,0.4834,0.0648
0.0000,0.9359,1.0000,0.3134,0.4835,0.0641
0.0000,0.9366,1.0000,0.3157,0.4837,0.0634
0.0000,0.9374,1.0000,0.3181,0.4839,0.0626
0.0000,0.9381,1.0000,0.3204,0.4841,0.0619
0.0000,0.9389,1.0000,0.3226,0.4843,0.0611
0.0000,0.9397,1.0000,0.3247,0.4845,0.0603
0.0000,0.9405,1.0000,0.3268,0.4847,0.0595
0.0000,0.9414,1.0000,0.3289,0.4849,0.0586
0.0000,0.9423,1.0000,0.3308,0.4851,0.0577
0.0000,0.9431,1.0000,0.3328,0.4853,0.0569
0.0000,0.9440,1.0000,0.3346,0.4856,0.0560
0.0000,0.9450,1.0000,0.3364,0.4858,0.0550
0.0000,0.9459,1.0000,0.3381,0.4860,0.0541
0.0000,0.9468,1.0000,0.3398,0.4863,0.0532
0.0000,0.9478,1.0000,0.3414,0.4865,0.0522
0.0000,0.9488,1.0000,0.3430,0.4868,0.0512
0.0000,0.9498,1.0000,0.3444,0.4870,0.0502
0.0000,0.9508,1.0000,0.3459,0.4873,0.0492
0.0000,0.9518,1.0000,0.3472,0.4875,0.0482
0.0000,0.9528,1.0000,0.3485,0.4878,0.0472
0.0000,0.9539,1.0000,0.3497,0.4881,0.0461
0.0000,0.9560,1.0000,0.3472,0.4886,0.0440
0.0000,0.9570,1.0000,0.3510,0.4889,0.0430
0.0000,0.9581,1.0000,0.3519,0.4891,0.0419
0.0000,0.9592,1.0000,0.3529,0.4894,0.0408
0.0000,0.9613,1.0000,0.3499,0.4900,0.0387
0.0000,0.9624,1.0000,0.3535,0.4902,0.0376
0.0000,0.9634,1.0000,0.3542,0.4905,0.0366
0.0000,0.9645,1.0000,0.3549,0.4908,0.0355
0.0000,0.9667,1.0000,0.3516,0.4913,0.0333
0.0000,0.9678,1.0000,0.3550,0.4916,0.0322
0.0000,0.9689,1.0000,0.3554,0.4919,0.0311
0.0000,0.9700,1.0000,0.3558,0.4922,0.0300
0.0000,0.9722,1.0000,0.3522,0.4927,0.0278
0.0000,0.9732,1.0000,0.3553,0.4930,0.0268
0.0000,0.9743,1.0000,0.3555,0.4933,0.0257
0.0000,0.9754,1.0000,0.3556,0.4935,0.0246
0.0000,0.9765,1.0000,0.3557,0.4938,0.0235
0.0000,0.9776,1.0000,0.3557,0.4941,0.0224
0.0000,0.9786,1.0000,0.3557,0.4944,0.0214
0.0000,0.9797,1.0000,0.3557,0.4946,0.0203
0.0000,0.9808,1.0000,0.3555,0.4949,0.0192
0.0000,0.9819,1.0000,0.3554,0.4952,0.0181
0.0000,0.9830,1.0000,0.3552,0.4955,0.0170
0.0000,0.9840,1.0000,0.3549,0.4957,0.0160
0.0000,0.9851,1.0000,0.3546,0.4960,0.0149
0.0000,0.9862,1.0000,0.3542,0.4963,0.0138
0.0000,0.9872,1.0000,0.3538,0.4965,0.0128
0.0000,0.9883,1.0000,0.3534,0.4968,0.0117
0.0000,0.9893,1.0000,0.3529,0.4971,0.0107
0.0000,0.9904,1.0000,0.3523,0.4973,0.0096
0.0000,0.9914,1.0000,0.3517,0.4976,0.0086
0.0000,0.9924,1.0000,0.3511,0.4978,0.0076
0.0000,0.9945,1.0000,0.3468,0.4984,0.0055
0.0000,0.9955,1.0000,0.3487,0.4986,0.0045
0.0000,0.9964,1.0000,0.3478,0.4989,0.0036
0.0000,0.9984,1.0000,0.3435,0.4994,0.0016
0.0000,0.9993,1.0000,0.3452,0.4996,0.0007
0.0000,1.0003,1.0000,0.3442,0.4998,-0.0003
